author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful
Bonita Rebecca,/gp/profile/amzn1.account.AGUSWSKPA43XWOXWZXOAD7MCYBVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 16, 2020",2,0,https://www.amazon.com/LeapFrog-Animals-Book-Frustration-Packaging/product-reviews/B085KTB1WY/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,"Your browser does not support HTML5 video.           I do love this toy. However we ignored the 18+ month recommendation and gave this to a 9 month old. He chewed the label off the animal tab. And all it says is ""This a... this fr.... this gira... this.. th.. th.. th.. this.. some of my favorite words ar..."" because my son frantically touches everything on the page and it just jumps to the next thing without ever finishing a sentence. So that's a bit annoying. But it is an appropriate distraction to keep him busy when we really need it. I've added a short video and two photos.",Nice and would buy again,Style: Standard PackagingColor: Learning FriendsVerified Purchase,5 people found this helpful
Gabriela O Vogelsang,/gp/profile/amzn1.account.AEBIVWPHIDBQ5ZDFFIDKBUI75A6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 8, 2019",0,2,https://www.amazon.com/LeapFrog-Animals-Book-Frustration-Packaging/product-reviews/B085KTB1WY/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,1.0 out of 5 stars,This product is not ment for 2 year olds. My son is 2 and 1/2 and this is his second one that has broken on him. The first one the Spanish side did not work at all. The second one he played with for just under 2 weeks before one side (left) did not register any touch and doesn't work.,Don't buy breaks too easily.,Style: Standard PackagingColor: Learning FriendsVerified Purchase,12 people found this helpful
Mary,/gp/profile/amzn1.account.AE6TOTPUP5XLTPZRJEZFIVC4Y5ZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 15, 2019",0,0,https://www.amazon.com/LeapFrog-Animals-Book-Frustration-Packaging/product-reviews/B085KTB1WY/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,4.0 out of 5 stars,My toddler absolutely loves this book but there are a few things I would change. I really wish it didn’t have the light up star because it constantly distracts him from the pages. Pressing the star button plays two short songs over and over. Very annoying and not as educational.,Almost perfect toy,Style: Frustration Free PackagingColor: Learning FriendsVerified Purchase,10 people found this helpful
Jessica,/gp/profile/amzn1.account.AFEYAFEWLHQXI43UAWL4BPLOAEHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 26, 2019",0,2,https://www.amazon.com/LeapFrog-Animals-Book-Frustration-Packaging/product-reviews/B085KTB1WY/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,1.0 out of 5 stars,"Cute book, but it's no longer responding properly. Since it was a Christmas present, it sat wrapped for a month.  Within 3 months of occasional use, it no longer works and is no longer under warranty.",Broke within 3 months of use,Style: Standard PackagingColor: Scout and VioletVerified Purchase,10 people found this helpful
amber,/gp/profile/amzn1.account.AGPFFZGPFU5WPQG2H7PLTH7ZNXRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 29, 2018",0,2,https://www.amazon.com/LeapFrog-Animals-Book-Frustration-Packaging/product-reviews/B085KTB1WY/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,1.0 out of 5 stars,"Bought this on Oct 22nd. As of a week ago, none of the buttons work and what noises it does make sounds like a defective microphone. Certainly not ""babies first 100 words. "" very upset. And apparently could only be returned through Nov 15th. Not even a month after purchase. Wonder why!! Thanks amazon.It was the best gift/entertainment for my 1 year old for a few weeks. Do not buy!",DO NOT BUY.,Style: Standard PackagingColor: Learning FriendsVerified Purchase,11 people found this helpful
CalledMama,/gp/profile/amzn1.account.AGQLUYHETROM5ZR2KLBD7V2FNHEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 6, 2020",0,0,https://www.amazon.com/LeapFrog-Animals-Book-Frustration-Packaging/product-reviews/B085KTB1WY/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,4.0 out of 5 stars,"I bought this for my speech delayed son in hopes that it will help him want to practice saying more words. It's nice that it offers several modes of play and two different languages. It's very touch sensitive, which is nice...however sometimes my son will accidentally touch an object with his wrist while he's actually pointing to something else. So that can be a bit confusing. The book does have an unusual smell, not terrible but noticeable. I also find the volume to be a bit loud even on the lowest setting. Overall it's a fun educational tool, but certainly doesn't replace the need for parents to read with their child.",A BIT LOUD BUT FUN,Style: Standard PackagingColor: Learning FriendsVerified Purchase,3 people found this helpful
Pet Rescuer,/gp/profile/amzn1.account.AEFSJJXIE2IPSVNJOMQIPLYGTCEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 10, 2019",0,1,https://www.amazon.com/LeapFrog-Animals-Book-Frustration-Packaging/product-reviews/B085KTB1WY/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,1.0 out of 5 stars,This product WAS a great toy to entertain our under 1 year old in the car (he hated sitting in his carseat and this toy worked as a bribe to sit in the car). The reason I say WAS is the same as another 1-star reviewer: the only noises the book now make sounds like a defective microphone. I have replaced the batteries and still no luck.,Stops working and Leapfrog does not support products for long,Style: Frustration Free PackagingColor: Learning FriendsVerified Purchase,6 people found this helpful
NC Coast,/gp/profile/amzn1.account.AHA6MUQCVAD4QG4FHV4PJADNXQZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 24, 2020",1,0,https://www.amazon.com/LeapFrog-Animals-Book-Frustration-Packaging/product-reviews/B085KTB1WY/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,"We bought this for our son who is just over a year old. It's great! We paid around $15, which i think is a great price. He is teething and can never look at his books because he never stops chewing them! He doesn't try to chew this (the pages are coated, anyway) and he can't tear the pages. My only complaint is sometimes when he touches a picture with his finger, the heel of his hand will touch another picture and name that picture instead. Not a big deal, really, but a little annoying. And some of the sounds they selected for the pictures are a little weird, but kind of funny. Overall, we're very pleased with our purchase.",A great toy!,Style: Standard PackagingColor: Learning FriendsVerified Purchase,4 people found this helpful
McDermom,/gp/profile/amzn1.account.AHI67RO3D527NGHY3BUSNSU3MMVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 12, 2019",0,1,https://www.amazon.com/LeapFrog-Animals-Book-Frustration-Packaging/product-reviews/B085KTB1WY/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,3.0 out of 5 stars,"Our tot loves this, particularly the 2 songs from the gold star! The toy is well designed and built, the pages are flexible plastic (wipeable) and the settings toggle between English/Spanish and words/sounds/sentences, so there is a lot of info to rotate through. The page categories are: pets, animals, fruits, foods, mealtime, clothes, colors, body, activities, outside, vehicles, opposites.But it’s LOUD (even on the lowest setting) and can be obnoxious after 5 minutes... especially if your kiddo is still developing motor skills and pushes the same button/icon repeatedly. Like all kids toys, good in small doses!I don’t think that this toy (or any!) alone will be enough to teach vocabulary, but repetition is key and it’s a good way to keep tots busy.","Interactive, but Loud",Style: Frustration Free PackagingColor: Learning FriendsVerified Purchase,4 people found this helpful
sharon,/gp/profile/amzn1.account.AH5TCM3AUSPGNIGCTYO6X2NYRXZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 23, 2019",0,0,https://www.amazon.com/LeapFrog-Animals-Book-Frustration-Packaging/product-reviews/B085KTB1WY/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,"This book is a wonderful learning book for a child.There are so many pictures in each individual page to learn from.My grandson learned his first word specifically after repeating it from this very book.The articulation is the words when repeated aloud from the toy, to the child is unlike any other toy I've heard.I'm extremely pleased with my purchase & I highly reccomend it for your child.It's also a rather large book,too!",Perfect book for curious little minds to learn from,Style: Frustration Free PackagingColor: Learning FriendsVerified Purchase,6 people found this helpful
